Ti_at,Nb_at_,Hf_at_,Zr_at_,Al_at_,Ta_at_,Mo_at_,W_at_,V_at_,Cr_at_,Si_at_,Processing_Temperature_C_,Treatment_Temperature_C_,Treatment_Time_h_,Average_atomic_radius_pm_,Atomic_radius_difference_pm_,Valence_Electron_Concentration,Enthalpy_of_Mixing_J_mol_,Mixing_Entropy_J_K_mol_,Hardness_HV_
0.2,0.2,0.2,0.2,0,0.2,0.1,0,0,0,0,0,0,0,149,5,4.6,0.6,15,480
0.2,0,0,0,0.1,0.2,0.2,0,0.2,0,0,0,0,0,141,4.5,4.7,-10,13,483
0.3,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,151,3.4,4.3,1.8,9.1,485
0.2,0.2,0,0,0.1,0,0.2,0,0.2,0,0,0,0,0,140,4,4.8,-9,13,487
0.3,0.1,0,0.4,0,0.3,0,0,0,0,0,0,0,0,151,3.9,4.4,2.4,11,489
0,0.3,0,0,0,0.4,0.1,0.3,0,0,0,0,0,0,142,2.9,5.3,-6,10,490
0.2,0.2,0.2,0.2,0,0.2,0.1,0,0,0,0,0,0,0,149,5.3,4.6,-0.2,15,492
0.2,0.2,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,142,3.3,5.2,-5.3,13,498
0.2,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,148,5.4,4.7,-0.9,15,505
0.2,0,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,141,4.3,4.6,-13,13,510
0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,140,4.1,5.2,-4.2,15,510
0.2,0.2,0,0,0,0.2,0.2,0.2,0,0,0,0,1200,24,142,3.3,5.2,-5.3,13,511
0,0.2,0,0,0,0.4,0.4,0.1,0,0,0,0,0,0,142,3.4,5.4,-5.5,10,512
0.2,0.2,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,140,3.9,4.7,-11,13,517
0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0,1200,24,140,4.1,5.2,-4.2,15,522
0,0.2,0,0,0,0.4,0.3,0.2,0,0,0,0,0,0,141,3.5,5.5,-5.9,11,536
0.2,0.2,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,140,3.9,4.6,-13,13,537
0.2,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,149,5.7,4.6,-1.9,13,542
0,0.3,0,0,0,0.1,0.3,0.4,0,0,0,0,0,0,139,2.5,5.6,-6.7,10,543
0.2,0.2,0,0,0.3,0,0.2,0,0.2,0,0,0,0,0,140,3.7,4.5,-15,13,556
0,0.2,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,141,3.2,5.5,-6.5,12,571
0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,135,5.3,5.6,-3.5,13,773
